steel,density_g_per_cm3,poissons_ratio,elastic_modulus_GPa,yield_strength_MPa,ultimate_strength_MPA
AISI-SAE 1040,7.845,0.28500000000000003,200.0,415,620
AISI-SAE 4140,7.85,0.28500000000000003,200.0,415,655
AISI-SAE 1030,7.85,0.28500000000000003,200.0,440,525
AISI-SAE 5160,7.85,0.28500000000000003,200.0,275,724
AISI 1074 Carbon Steel,7.865,0.28500000000000003,200.0,505,650
AISI 1055,7.85,0.28500000000000003,200.0,560,660
AISI 1030,7.85,0.28500000000000003,200.0,440,525
AISI-SAE 1065,7.85,0.28500000000000003,200.0,490,635
AISI 6145,7.75,0.28500000000000003,205.0,1165,1213
AISI 1095,7.85,0.28500000000000003,200.0,525,685
AISI-SAE 6150,7.85,0.28500000000000003,200.0,415,670
AISI-SAE 1038,7.845,0.28500000000000003,200.0,485,570
AISI-SAE 4340,7.85,0.28500000000000003,200.0,470,745
AISI 1090,7.85,0.28500000000000003,200.0,540,696
AISI-SAE 1026,7.858,0.28500000000000003,200.0,415,490
AISI-SAE 4027,7.85,0.28500000000000003,200.0,325,515
AISI-SAE 1050,7.85,0.28500000000000003,200.0,580,690
AISI-SAE 1035,7.85,0.28500000000000003,200.0,370,585
AISI-SAE 1045,7.87,0.29,200.0,450,585
AISI-SAE 5140,7.85,0.28500000000000003,200.0,295,570
AISI 4640,7.75,0.28500000000000003,205.0,1103,1276
